Title,Year,Release Day,Season,Studio,Story,Genre,Value
Mr. Magorium's Wonder Emporium,2007,Friday,Summer,Independent,Transformation,Fantasy,25
Sweeney Todd: The Demon Barber of Fleet Street,2007,Friday,Summer,Warner Bros.,Revenge,Musical,50
Superbad,2007,Friday,Summer,Sony,Comedy,Comedy,20
Evan Almighty,2007,Friday,Summer,Universal,Comedy,Comedy,175
In the Land of Women,2007,Friday,Summer,Warner Bros.,Transformation,Comedy,10
Good Luck Chuck,2007,Friday,Summer,Lionsgate,Love,Comedy,25
Charlie Wilson's War,2007,Friday,Summer,Universal,Discovery,Biography,75
Vacancy,2007,Friday,Summer,Sony,Pursuit,Comedy,19
I Now Pronounce You Chuck and Larry,2007,Friday,Summer,Universal,Comedy,Comedy,85
300,2007,Friday,Summer,Warner Bros.,Sacrifice,Action,65
Mr. Brooks,2007,Friday,Summer,MGM,Temptation,Thriller,20
Alvin and the Chipmunks,2007,Friday,Summer,Fox,Comedy,Animation,70
Epic Movie,2007,Friday,Summer,Independent,Comedy,Comedy,20
Premonition,2007,Friday,Summer,Sony,The Riddle,Drama,20
The Golden Compass,2007,Friday,Summer,Warner Bros.,Rescue,Action,180
There Will Be Blood,2007,Friday,Fall,Paramount,Wretched Excess,Drama,25
The Simpsons Movie,2007,Friday,Fall,Fox,Maturation,Comedy,75
Happily N'Ever After,2007,Friday,Fall,Lionsgate,Maturation,Animation,47
Stardust,2007,Friday,Fall,Paramount,Quest,Adventure,70
Across the Universe,2007,Friday,Fall,Independent,Love,Romance,45
Shrek the Third,2007,Friday,Fall,Paramount,Quest,Animation,160
We Own the Night,2007,Friday,Fall,Sony,Sacrifice,Drama,21
Michael Clayton,2007,Friday,Fall,Independent,Transformation,Thriller,25
The Heartbreak Kid,2007,Wednesday,Fall,Paramount,Love,Comedy,60
Rush Hour 3,2007,Wednesday,Fall,Warner Bros.,Rescue,Action,140
Enchanted,2007,Friday,Fall,Disney,Love,Comedy,85
The Bucket List,2007,Friday,Fall,Warner Bros.,Discovery,Drama,45
Shooter,2007,Friday,Fall,Paramount,Pursuit,Action,61
Norbit,2007,Friday,Fall,Paramount,Comedy,Comedy,60
Ghost Rider,2007,Friday,Fall,Sony,Monster Force,Action,110
Knocked Up,2007,Friday,Fall,Universal,Love,Comedy,33
Pirates of the Caribbean: At World's End,2007,Friday,Fall,Disney,Rescue,Action,300
The Invasion,2007,Friday,Fall,Warner Bros.,Monster Force,Sci-Fi,80
Nancy Drew,2007,Friday,Fall,Independent,The Riddle,Thriller,20
Tyler Perry's Why Did I get Married,2007,Friday,Fall,Independent,Love,Romance,15
Wild Hogs,2007,Friday,Winter,Disney,Transformation,Comedy,90
Bee Movie,2007,Friday,Winter,Paramount,Journey and Return,Animation,150
Ocean's 13,2007,Friday,Winter,Warner Bros.,Revenge,Thriller,85
No Country for Old Men,2007,Friday,Winter,Paramount,Pursuit,Drama,25
Dragon Wars (aka D-War),2007,Friday,Winter,Mediaplex,Monster Force,Action,75
Walk Hard: The Dewey Cox Story,2007,Wednesday,Winter,Sony,Comedy,Comedy,35
Fireproof,2008,Friday,Winter,Independent,Love,Drama,0.5
The Haunting of Molly Hartley,2008,Friday,Winter,Independent,Sacrifice,Horror,5
Death Race,2008,Friday,Winter,Universal,Escape,Action,45
Madagascar: Escape 2 Africa,2008,Wednesday,Winter,Paramount,Journey and Return,Animation,150
The Bank Job,2008,Friday,Winter,Independent,Quest,Thriller,20
Ghost Town,2008,Friday,Winter,Paramount,Transformation,Comedy,20
Harold and Kumar Escape from Guantanamo Bay,2008,Friday,Winter,Warner Bros.,Escape,Adventure,12
The Secret Life of Bees,2008,Wednesday,Winter,Fox,Maturation,Drama,11
Doubt,2008,Friday,Winter,Independent,The Riddle,Drama,25
Drillbit Taylor,2008,Friday,Winter,Paramount,Comedy,Comedy,40
Hancock,2008,Friday,Winter,Sony,Discovery,Action,150
Pride & Glory,2008,Wednesday,Winter,Warner Bros.,Temptation,Crime,30
College Road Trip,2008,Friday,Winter,Buena Vista,Comedy,Adventure,140
Rachel Getting Married,2008,Friday,Winter,Independent,Love,Drama,12
Bolt,2008,Friday,Winter,Disney,Rescue,Animation,150
Nick and Norah's Infinite Playlist,2008,Friday,Winter,Sony,Love,Comedy,10
The Strangers,2008,Friday,Winter,Relativity,Escape,Horror,9
Swing Vote,2008,Wednesday,Winter,Disney,Maturation,Comedy,20
Bedtime Stories,2008,Friday,Winter,Disney,Rivalry,Comedy,80
Righteous Kill,2008,Friday,Winter,Overture,The Riddle,Crime,60
Australia,2008,Wednesday,Winter,Fox,Fish Out of Water,Adventure,78
Mamma Mia!,2008,Friday,Winter,Universal,Love,Comedy,66
The Dark Knight,2008,Friday,Winter,Warner Bros.,Revenge,Thriller,185
27 Dresses,2008,Friday,Winter,Fox,Love,Comedy,30
Journey to the Center of the Earth,2008,Friday,Winter,Warner Bros.,Quest,Action,45
The Mummy: Tomb of the Dragon Emperor,2008,Friday,Spring,Universal,Quest,Action,145
Step Brothers,2008,Friday,Spring,Sony,Comedy,Comedy,65
The Ruins,2008,Friday,Spring,Paramount,Rescue,Horror,25
Get Smart,2008,Friday,Spring,Warner Bros.,Pursuit,Action,80
Traitor,2008,Friday,Spring,Liberty Starz,Pursuit,Thriller,22
Burn After Reading,2008,Friday,Spring,Relativity,Comedy,Comedy,37
The Spiderwick Chronicles,2008,Friday,Spring,Paramount,Fish Out of Water,Fantasy,92.5
Changeling,2008,Wednesday,Spring,Independent,Quest,Drama,55
Miss Pettigrew Lives for a Day,2008,Friday,Spring,Independent,Love,Comedy,60
Doomsday,2008,Friday,Spring,Relativity,Quest,Action,33
WALL-E,2008,Wednesday,Spring,Disney,Love,Animation,180
Transporter 3,2008,Friday,Spring,Independent,Escape,Action,30
Quantum of Solace,2008,Friday,Spring,MGM,Revenge,Action,230
You Don't Mess with the Zohan,2008,Friday,Spring,Sony,Fish Out of Water,Comedy,80
The Chronicles of Narnia: Prince Caspian,2008,Friday,Spring,Disney,Fish Out of Water,Action,200
88 Minutes,2008,Friday,Spring,Sony,The Riddle,Drama,30
"Definitely,Maybe",2008,Friday,Spring,Universal,Discovery,Comedy,7
Hellboy II: The Golden Army,2008,Wednesday,Spring,Universal,Sacrifice,Action,82.5
Fool's Gold,2008,Wednesday,Spring,Warner Bros.,Quest,Adventure,72.5
Speed Racer,2008,Friday,Spring,Warner Bros.,Quest,Action,120
Religulous,2008,Friday,Spring,Lionsgate,Comedy,Documentary,2.5
Forgetting Sarah Marshall,2008,Wednesday,Spring,Independent,Maturation,Comedy,30
Punisher: War Zone,2008,Friday,Spring,Lionsgate,Revenge,Action,35
21,2008,Friday,Spring,Sony,Quest,Crime,35
"Be Kind,Rewind",2008,Friday,Spring,New Line,Comedy,Comedy,20
Sex and the City,2008,Friday,Spring,Warner Bros.,Love,Comedy,57.5
Mirrors,2008,Wednesday,Spring,Independent,Monster Force,Horror,35
Rambo,2008,Wednesday,Spring,Lionsgate,Rescue,Action,47.5
Pineapple Express,2008,Friday,Spring,Sony,Comedy,Action,26
The Tale of Despereaux,2008,Friday,Spring,Universal,Rescue,Animation,55
Disaster Movie,2008,Friday,Summer,Lionsgate,Rescue,Comedy,20
Semi-Pro,2008,Friday,Summer,Warner Bros.,Underdog,Comedy,2.6
The Express,2008,Friday,Summer,Independent,Maturation,Biopic,37.5
The Incredible Hulk,2008,Friday,Summer,Universal,Metamorphosis,Action,137.5
Step Up 2: The Streets,2008,Wednesday,Summer,Disney,Underdog,Drama,17.5
Smart People,2008,Friday,Summer,Independent,Transformation,Comedy,7
My Best Friend's Girl,2008,Friday,Summer,Lionsgate,Comedy,Comedy,20
Meet the Spartans,2008,Wednesday,Summer,Independent,Comedy,Comedy,30
Untraceable,2008,Friday,Summer,Independent,The Riddle,Thriller,35
Cadillac Records,2008,Friday,Summer,Sony,Rags to Riches,Biography,12
Nights in Rodanthe,2008,Friday,Summer,Warner Bros.,Discovery,Drama,30
The Longshots,2008,Wednesday,Summer,Independent,Quest,Comedy,30
City of Ember,2008,Wednesday,Summer,Independent,Escape,Adventure,38
Tropic Thunder,2008,Friday,Summer,Paramount,Fish Out of Water,Comedy,90
The House Bunny,2008,Friday,Summer,Sony,Discovery,Comedy,25
Sex Drive,2008,Friday,Summer,Summit,Journey and Return,Adventure,19
Wanted,2008,Friday,Summer,Universal,Transformation,Action,75
Mad Money,2008,Friday,Summer,Independent,Comedy,Comedy,22
Quarantine,2008,Friday,Summer,Sony,Monster Force,Horror,12
Role Models,2008,Friday,Summer,Universal,Discovery,Comedy,28
What Happens in Vegas,2008,Friday,Summer,Fox,Love,Comedy,35
Twilight,2008,Friday,Summer,Summit,Love,Romance,37
Marley and Me,2008,Friday,Summer,Fox,Love,Comedy,55
Stop-Loss,2008,Friday,Summer,Paramount,Tragedy,Drama,25
Space Chimps,2008,Friday,Summer,Independent,Transformation,Animation,37
Street Kings,2008,Wednesday,Summer,Fox,The Riddle,Action,20
CLoverfield,2008,Friday,Summer,Paramount,Monster Force,Action,25
Vicky Cristina Barcelona,2008,Friday,Summer,Weinstein Co.,Temptation,Romance,16
Nim's Island,2008,Friday,Summer,Independent,Rescue,Adventure,37
Iron Man,2008,Friday,Summer,Paramount,Metamorphosis,Action,186
The Curious Case of Benjamin Button,2008,Friday,Summer,Warner Bros.,Love,Fantasy,160
Shutter,2008,Friday,Summer,Fox,Monster Force,Horror,8
The Love Guru,2008,Friday,Summer,Paramount,Comedy,Comedy,62
One Missed Call,2008,Friday,Summer,Warner Bros.,Monster Force,Horror,20
The Day the Earth Stood Still ,2008,Friday,Fall,Fox,Sacrifice,Thriller,100
Baby Mama,2008,Friday,Fall,Independent,Discovery,Comedy,70
Valkyrie,2008,Friday,Fall,MGM,Sacrifice,Thriller,75
Zack and Miri Make a Porno,2008,Friday,Fall,Weinstein Co.,Love,Romance,24
Yes Man,2008,Friday,Fall,Warner Bros.,Transformation,Comedy,70
Body of Lies,2008,Friday,Fall,Warner Bros.,Temptation,Action,67.5
The Happening,2008,Friday,Fall,Fox,Escape,Thriller,48
Saw V,2008,Friday,Fall,Independent,Monster Force,Crime,10.8
"Welcome Home,Roscoe Jenkins",2008,Friday,Fall,Universal,Discovery,Comedy,35
Meet Dave,2008,Friday,Fall,Fox,Fish Out of Water,Adventure,60
Babylon A.D.,2008,Friday,Fall,Fox,Quest,Action,45
"10,000 B.C.",2008,Friday,Fall,Warner Bros.,Rescue,Adventure,105
High School Musical 3: Senior Year,2008,Friday,Fall,Disney,Love,Comedy,11
Superhero Movie,2008,Friday,Fall,Weinstein Co.,Comedy,Comedy,65
Leatherheads,2008,Friday,Fall,Universal,Rivalry,Comedy,58
Dr. Seuss' Horton Hears a Who!,2008,Friday,Fall,Fox,Rescue,Animation,85
Jumper,2008,Friday,Fall,Fox,Rescue,Action,82.5
Prom Night,2008,Friday,Fall,Independent,Escape,Horror,18
The Other Boleyn Girl,2008,Friday,Fall,Independent,Tragedy,Drama,40
Eagle Eye,2008,Friday,Fall,Paramount,Pursuit,Action,80
Max Payne,2008,Friday,Fall,Fox,Revenge,Action,35
The Spirit,2008,Friday,Fall,Lionsgate,Rivalry,Action,6
Kung Fu Panda,2008,Friday,Fall,Paramount,Underdog,Animation,200
Made of Honor,2008,Friday,Fall,Sony,Love,Comedy,40
Tyler Perry's The Family That Preys,2008,Friday,Fall,Independent,Discovery,Drama,10
The X-Files: I Want to Believe,2008,Friday,Fall,Fox,Monster Force,Thriller,35
Tyler Perry's Meet the Browns,2008,Friday,Fall,Independent,Discovery,Drama,20
Never Back Down,2008,Friday,Winter,Summit,Rivalry,Action,21
Star Wars: The Clone Wars,2008,Friday,Winter,Independent,Sacrifice,Animation,8.5
Seven Pounds,2008,Friday,Winter,Sony,Sacrifice,Drama,55
Miracle at St. Anna,2008,Wednesday,Winter,Disney,Quest,Action,45
The Forbidden Kingdom,2008,Wednesday,Winter,Relativity,Journey and Return,Action,55
Lakeview Terrace,2008,Friday,Winter,Sony,Rivalry,Crime,20
First Sunday,2008,Friday,Winter,Sony,Comedy,Comedy,13
Appaloosa,2008,Friday,Winter,Warner Bros.,Rescue,Action,20
Indiana Jones and the Kingdom of the Crystal Skull,2008,Friday,Winter,Paramount,Pursuit,Action,185
The Women,2008,Friday,Winter,Warner Bros.,Transformation,Drama,16
Beverly Hills Chihuahua,2008,Friday,Winter,Disney,Journey and Return,Adventure,20
G-Force ,2009,Friday,Winter,Disney,Comedy,Action,150
The Eye,2008,Friday,Winter,Lionsgate,Sacrifice,Horror,12
Bangkok Dangerous,2008,Wednesday,Winter,Lionsgate,Pursuit,Action,45
Milk,2008,Wednesday,Winter,Universal,Quest,Biography,20
The Unborn,2009,Friday,Winter,Relativity,Monster Force,Horror,16
Ghosts of Girlfriends Past ,2009,Friday,Winter,Warner Bros.,Love,Comedy,50
Amelia ,2009,Wednesday,Winter,Independent,Quest,Adventure,40
The Time Traveler's Wife ,2009,Wednesday,Winter,Paramount,Love,Drama,39
Obsessed ,2009,Friday,Winter,Sony,Rivalry,Drama,20
The Blind Side ,2009,Friday,Winter,Warner Bros.,Rags To Riches,Biography,29
W.,2008,Friday,Winter,Lionsgate,Rivalry,Drama,25.1
Observe and Report ,2009,Friday,Winter,Warner Bros.,Comedy,Comedy,18
Next Day Air ,2009,Friday,Winter,Summit,Comedy,Action,3
Drag Me to Hell ,2009,Friday,Winter,Universal,Monster Force,Horror,30
Saw VI ,2009,Friday,Winter,Independent,Escape,Horror,11
The International ,2009,Friday,Winter,Sony,The Riddle,Action,50
Knowing ,2009,Friday,Winter,Summit,Escape,Drama,50
Old Dogs ,2009,Wednesday,Winter,Buena Vista,Comedy,Comedy,35
Angels & Demons ,2009,Friday,Winter,Sony,The Riddle,Mystery,150
Sorority Row ,2009,Friday,Winter,Summit,Pursuit,Horror,12.5
Love Happens ,2009,Friday,Winter,Universal,Love,Drama,18
Terminator Salvation ,2009,Friday,Winter,Warner Bros.,Monster Force,Action,200
Race to Witch Mountain ,2009,Friday,Winter,Buena Vista,Quest,Action,50
Notorious,2009,Friday,Winter,Fox,Tragedy ,Biography,20
The Men Who Stare at Goats ,2009,Friday,Winter,Independent,Comedy,Comedy,25
X-Men Origins: Wolverine ,2009,Friday,Winter,Fox,Revenge,Action,150
I Love You Beth Cooper ,2009,Friday,Winter,Fox,Comedy,Comedy,18
The Princess and the Frog ,2009,Friday,Spring,Disney,Metamorphosis,Animation,105
Post Grad ,2009,Friday,Spring,Fox,Maturation,Comedy,15
17 Again ,2009,Friday,Spring,Independent,Maturation,Comedy,20
A Perfect Getaway ,2009,Friday,Spring,Universal,Escape,Mystery,14
Gamer ,2009,Friday,Spring,Lionsgate,Revenge,Action,12.5
Cloudy with a Chance of Meatballs ,2009,Friday,Spring,Sony,Comedy,Animation,100
Inglourious Basterds ,2009,Friday,Spring,Universal,Underdog,Adventure,70
Watchmen ,2009,Friday,Spring,Warner Bros.,Sacrifice,Action,130
Street Fighter: The Legend of Chun-Li ,2009,Friday,Spring,Fox,Revenge,Action,50
Dragonball Evolution ,2009,Friday,Spring,Fox,Quest,Action,30
The Pink Panther 2 ,2009,Friday,Spring,Sony,Comedy,Adventure,59
Hannah Montana: The Movie ,2009,Friday,Spring,Disney,Maturation,Comedy,35
Brothers ,2009,Friday,Spring,Lionsgate,Transformation,Drama,26
Imagine That ,2009,Friday,Spring,Paramount,Comedy,Comedy,55
Underworld: Rise of the Lycans ,2009,Friday,Spring,Sony,Rivalry,Action,35
The Road ,2009,Friday,Spring,Weinstein Co.,Quest,Adventure,25
District 9 ,2009,Friday,Spring,Independent,Metamorphosis,Action,30
Not Easily Broken ,2009,Friday,Spring,Independent,Love,Drama,5
Fame,2009,Friday,Spring,MGM,Maturation,Comedy,18
Taking Woodstock ,2009,Wednesday,Spring,Focus,Quest,Comedy,29
Jennifer's Body ,2009,Wednesday,Spring,Fox,Monster Force,Comedy,16
Fast and Furious ,2009,Friday,Spring,Universal,Revenge,Action,85
Coraline ,2009,Friday,Spring,Universal,Journey and Return,Animation,60
The Informant! ,2009,Friday,Spring,Warner Bros.,Comedy,Comedy,22
Ice Age: Dawn of the Dinosaurs ,2009,Friday,Spring,Fox,Quest,Animation,90
Fired Up! ,2009,Friday,Spring,Independent,Comedy,Comedy,20
Up ,2009,Friday,Spring,Disney,Journey and Return,Animation,175
Extract ,2009,Friday,Spring,Miramax,Comedy,Comedy,7.5
Push ,2009,Friday,Spring,Summit,Quest,Action,38
Bride Wars ,2009,Wednesday,Spring,Fox,Comedy,Comedy,30
Night at the Museum: Battle of the Smithsonian ,2009,Wednesday,Spring,Fox,Quest,Action,150
Sunshine Cleaning ,2009,Friday,Spring,Independent,Transformation,Comedy,5
Hotel for Dogs ,2009,Friday,Spring,Paramount,Comedy,Comedy,35
Did You Hear About the Morgans? ,2009,Friday,Spring,Sony,Comedy,Comedy,58
9,2009,Friday,Spring,Focus,Sacrifice,Animation,30
The Lovely Bones ,2009,Friday,Spring,Paramount,Tragedy,Drama,65
Invictus,2009,Friday,Spring,Warner Bros.,Underdog,Biography,60
Dance Flick ,2009,Friday,Summer,Paramount,Comedy,Action,25
Funny People ,2009,Friday,Summer,Universal,Transformation,Comedy,75
Surrogates ,2009,Wednesday,Summer,Buena Vista,Pursuit,Action,80
Up in the Air ,2009,Wednesday,Summer,Paramount,Maturation,Drama,25
Julie & Julia ,2009,Friday,Summer,Sony,Underdog,Biography,40
Ninja Assassin ,2009,Friday,Summer,Warner Bros.,Revenge,Action,50
Aliens in the Attic ,2009,Wednesday,Summer,Fox,Monster Force,Adventure,45
Crank: High Voltage ,2009,Wednesday,Summer,Lionsgate,Pursuit,Action,12.9
Transformers: Revenge of the Fallen ,2009,Friday,Summer,Paramount,Revenge,Action,210
Paranormal Activity ,2009,Friday,Summer,Independent,Monster Force,Horror,0.02
Adventureland ,2009,Friday,Summer,Miramax,Maturation,Comedy,9.8
Everybody's Fine ,2009,Friday,Summer,Miramax,Discovery,Drama,21
The Stepfather,2009,Friday,Summer,Sony,Rescue,Mystery,20
Pandorum ,2009,Friday,Summer,Independent,Monster Force,Action,40
My Bloody Valentine 3-D ,2009,Friday,Summer,Lionsgate,Pursuit,Crime,14
The Ugly Truth ,2009,Friday,Summer,Independent,Love,Comedy,38
An Education,2009,Friday,Summer,Sony,Maturation,Drama,7.5
Where the Wild Things Are ,2009,Friday,Summer,Warner Bros.,Journey and Return,Adventure,100
The Proposal ,2009,Friday,Summer,Disney,Love,Comedy,40
Paul Blart: Mall Cop ,2009,Friday,Summer,Sony,Comedy,Action,26
Fantastic Mr. Fox ,2009,Friday,Summer,Fox,Rivalry,Animation,40
The Hangover ,2009,Friday,Summer,Warner Bros.,Comedy,Comedy,35
Law Abiding Citizen ,2009,Wednesday,Summer,Independent,Revenge,Crime,53
Duplicity ,2009,Friday,Summer,Universal,Rivalry,Romance,60
Inkheart ,2009,Friday,Summer,Warner Bros.,Quest,Adventure,60
Sherlock Holmes ,2009,Friday,Summer,Warner Bros.,The Riddle,Action,90
The Box ,2009,Friday,Summer,Warner Bros.,Temptation,Drama,30
Confessions of a Shopaholic ,2009,Friday,Summer,Disney,Comedy,Comedy,70
The Hurt Locker ,2009,Friday,Summer,Independent,Quest,Drama,15
"Pirate Radio (The Boat that Rocked,UK)",2009,Friday,Summer,Focus,Comedy,Comedy,50
He's Just Not That Into You ,2009,Friday,Summer,Warner Bros.,Love,Comedy,25
Zombieland ,2009,Friday,Summer,Sony,Monster Force,Action,23.6
Whatever Works ,2009,Wednesday,Summer,Independent,Discovery,Comedy,15
Star Trek ,2009,Friday,Summer,Paramount,Revenge,Action,140
It's Complicated ,2009,Friday,Summer,Universal,Love,Comedy,85
Couples Retreat ,2009,Friday,Summer,Universal,Comedy,Comedy,60
Avatar ,2009,Friday,Fall,Fox,Metamorphosis,Action,237
Whiteout ,2009,Friday,Fall,Warner Bros.,Pursuit,Action,35
The Twilight Saga: New Moon ,2009,Friday,Fall,Summit,Love,Drama,50
12 Rounds ,2009,Friday,Fall,Fox,Rescue,Action,20
Planet 51 ,2009,Friday,Fall,Independent,Comedy,Animation,70
Public Enemies ,2009,Friday,Fall,Universal,Underdog,Biography,100
Halloween II,2009,Wednesday,Fall,Independent,Escape,Horror,15
G.I. Joe: The Rise of Cobra ,2009,Wednesday,Fall,Paramount,Pursuit,Action,175
Cirque du Freak: The Vampire's Assistant ,2009,Friday,Fall,Universal,Discovery,Action,40
Orphan ,2009,Friday,Fall,Warner Bros.,Escape,Horror,30
The Invention of Lying ,2009,Friday,Fall,Warner Bros.,Love,Comedy,18.5
A Christmas Carol,2009,Friday,Fall,Disney,Transformation,Animation,200
Nine ,2009,Friday,Fall,Weinstein Co.,Discovery,Drama,80
"I Love You,Man ",2009,Friday,Fall,Paramount,Comedy,Comedy,40
The Soloist ,2009,Friday,Fall,Paramount,Quest,Drama,60
Away We Go ,2009,Friday,Fall,Focus,Discovery,Comedy,21
Whip It ,2009,Friday,Fall,Independent,Maturation,Drama,15
Monsters Vs. Aliens ,2009,Friday,Fall,Paramount,Monster Force,Animation,175
Harry Potter and the Half-Blood Prince ,2009,Friday,Fall,Warner Bros.,Quest,Adventure,250
The Final Destination ,2009,Friday,Fall,Warner Bros.,Escape,Horror,40
Astro Boy ,2009,Friday,Fall,Summit,Quest,Animation,65
Land of the Lost ,2009,Friday,Fall,Universal,Journey and Return,Drama,100
Friday the 13th,2009,Friday,Fall,Paramount,Monster Force,Horror,19
Michael Jackson's This Is It ,2009,Friday,Fall,Sony,Tragedy,Documentary,60
State of Play ,2009,Friday,Fall,Universal,The Riddle,Crime,60
The Fourth Kind ,2009,Friday,Fall,Universal,Monster Force,Mystery,10
(500) Days of Summer ,2009,Friday,Fall,Fox,Love,Comedy,7.5
The Taking of Pelham 1 2 3 ,2009,Friday,Fall,Sony,Rescue,Action,100
Taken ,2009,Friday,Fall,Fox,Pursuit,Action,25
A Serious Man ,2009,Friday,Fall,Universal,Love,Drama,7
My Sister's Keeper ,2009,Friday,Fall,Warner Bros.,Escape,Drama,27.5
The Haunting in Connecticut ,2009,Friday,Winter,Lionsgate,Monster Force,Drama,30
2012,2009,Friday,Winter,Sony,Escape,Action,200
Bruno ,2009,Friday,Winter,Universal,Comedy,Comedy,42
My Life in Ruins ,2009,Friday,Winter,Independent,Comedy,Comedy,17
Year One ,2009,Friday,Winter,Sony,Quest,Adventure,60
Alvin and the Chipmunks: The Squeakquel ,2009,Friday,Winter,Independent,Comedy,Animation,75
All About Steve ,2009,Friday,Winter,Fox,Comedy,Comedy,15
Armored ,2009,Friday,Winter,Sony,Temptation,Action,20
Bandslam ,2009,Friday,Winter,Summit,Maturation,Comedy,20
The A-Team,2010,Friday,Winter,Fox,Pursuit,Action,100
Stone,2010,Friday,Winter,Independent,Rivalry,Drama,22
The Social Network,2010,Friday,Winter,Sony,Rags to Riches,Biography,50
Buried,2010,Friday,Winter,Independent,Escape,Drama,2
Takers,2010,Friday,Winter,Sony,Rivalry,Action,32
The Sorcerer's Apprentice,2010,Friday,Winter,Disney,Pursuit,Action,150
The Last Song,2010,Friday,Winter,Disney,Discovery,Drama,20
Black Swan        ,2010,Friday,Winter,Fox,Wretched Excess,Drama,13
The Book of Eli        ,2010,Friday,Winter,Independent,Quest,Action,80
Letters to Juliet,2010,Friday,Winter,Summit,Love,Comedy,30
Prince of Persia: The Sands of Time,2010,Friday,Winter,Disney,Rivalry,Action,200
Wall Street: Money Never Sleeps,2010,Friday,Winter,Independent,Rivalry,Drama,70
Death at a Funeral,2010,Friday,Winter,Independent,Comedy,Comedy,21
Shrek Forever After,2010,Friday,Spring,Paramount,Journey and Return,Animation,165
"Eat Pray Love	",2010,Friday,Spring,Sony,Journey and Return,Drama,60
Get Him to the Greek,2010,Friday,Spring,Universal,Comedy,Comedy,40
Sex and the City 2,2010,Friday,Spring,Warner Bros.,Love,Comedy,100
Love & Other Drugs,2010,Friday,Spring,Fox,Love,Comedy,30
The Back-up Plan,2010,Wednesday,Spring,CBS,Love,Comedy,35
Brooklyn's Finest,2010,Friday,Spring,Independent,Temptation,Action,17
Life as We Know It,2010,Friday,Spring,Independent,Love,Comedy,38
Dinner for Schmucks,2010,Friday,Spring,Paramount,Comedy,Comedy,69
Unstoppable,2010,Friday,Spring,Fox,Rescue,Action,95
Cats & Dogs: The Revenge of Kitty Galore,2010,Friday,Spring,Independent,Pursuit,Action,85
All About Steve ,2010,Friday,Spring,Independent,Comedy,Comedy,15
Iron Man 2,2010,Friday,Spring,Paramount,Rivalry,Action,200
